nfeatures,n_octave_layers,ratio_threshold,min_match_count,min_inliers,min_bbox_area,accuracy,tpr,fpr,tp,fp,fn,runtime
4000,3,0.6,10,6,25,0.6326530612244898,0.7209302325581395,0.16216216216216217,62,12,24,6.877799636000418
4000,3,0.6,10,10,25,0.6326530612244898,0.7209302325581395,0.16216216216216217,62,12,24,6.954022963996977
4000,3,0.6,20,10,25,0.6326530612244898,0.7209302325581395,0.16216216216216217,62,12,24,6.6332227410021005
4000,3,0.6,20,10,100,0.6326530612244898,0.7209302325581395,0.16216216216216217,62,12,24,6.649993874001666
1000,3,0.6,35,10,25,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,6.187460587003443
1000,3,0.6,35,20,25,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,6.148269930999959
1000,3,0.65,35,10,25,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,7.473778434003179
1000,3,0.65,35,20,25,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,8.055783780997444
1000,3,0.7,35,10,25,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,8.18859422600508
1000,3,0.7,35,20,25,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,7.309489915998711
2000,3,0.6,35,20,100,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,6.464829937001923
2000,3,0.65,35,20,100,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,6.420547811998404
2000,3,0.7,20,20,25,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,8.87903343999642
2000,3,0.7,35,20,100,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,8.332452609996835
2000,3,0.75,10,20,25,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,11.351035377003427
4000,3,0.65,35,10,25,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,6.3589462589952745
4000,3,0.65,35,10,100,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,6.484792164003011
4000,3,0.7,35,6,100,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,7.288521854999999
4000,3,0.7,35,10,25,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,7.420695087996137
4000,3,0.7,35,10,100,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,7.535750378003286
4000,3,0.7,35,20,100,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,7.299331659000018
4000,3,0.75,10,20,25,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,10.686728685999697
4000,3,0.75,35,20,25,0.631578947368421,0.6976744186046512,0.13043478260869565,60,9,26,12.497443646003376
1000,3,0.6,20,10,25,0.6288659793814433,0.7093023255813954,0.1527777777777778,61,11,25,6.6347206520003965
1000,3,0.65,10,10,25,0.6288659793814433,0.7093023255813954,0.1527777777777778,61,11,25,7.588711923999654
1000,3,0.75,35,6,100,0.6288659793814433,0.7093023255813954,0.1527777777777778,61,11,25,10.491966923000291
2000,3,0.65,10,10,100,0.6288659793814433,0.7093023255813954,0.1527777777777778,61,11,25,8.150326951996249
4000,3,0.7,10,10,25,0.6288659793814433,0.7093023255813954,0.1527777777777778,61,11,25,9.02390485900105
